"url","Name","Name_link","Country","Capacity","Status","Type","Owner","Operator","Connection"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Agesta","http://www.world-nuclear.org/reactor/default.aspx/AGESTA","Sweden","10 MWe","PERMANENT SHUTDOWN","Pressurized Heavy Water Reactor","Barsebäck Kraft AB","Barsebäck Kraft AB","1 May 1964"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Akademik Lomonosov 1","http://www.world-nuclear.org/reactor/default.aspx/AKADEMIK%20LOMONOSOV-1","Russia","32 MWe","UNDER CONSTRUCTION","Pressurised Water Reactor","Joint Stock Company 'Concern Rosenergoatom'","Joint Stock Company 'Concern Rosenergoatom'",""
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Akademik Lomonosov 2","http://www.world-nuclear.org/reactor/default.aspx/AKADEMIK%20LOMONOSOV-2","Russia","32 MWe","UNDER CONSTRUCTION","Pressurised Water Reactor","Joint Stock Company 'Concern Rosenergoatom'","Joint Stock Company 'Concern Rosenergoatom'",""
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Aktau","http://www.world-nuclear.org/reactor/default.aspx/AKTAU","Kazakhstan","52 MWe","PERMANENT SHUTDOWN","Fast Reactor","Joint Stock Company ""National Atomic Company Kazatomprom""","Mangishlak Atomic Energy Complex-Kazatomprom,Limited Liability Company","16 July 1973"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Almaraz 1","http://www.world-nuclear.org/reactor/default.aspx/ALMARAZ-1","Spain","1011 MWe","OPERABLE","Pressurised Water Reactor","Iberdrola, Endesa, Gas Natural","Centrales Nucleares Almaraz-Trillo(Id/Ufg/Endesa/Hc/Nuclenor )","1 May 1981"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Almaraz 2","http://www.world-nuclear.org/reactor/default.aspx/ALMARAZ-2","Spain","1006 MWe","OPERABLE","Pressurised Water Reactor","Iberdrola, Endesa, Gas Natural","Centrales Nucleares Almaraz-Trillo(Id/Ufg/Endesa/Hc/Nuclenor )","8 October 1983"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Angra 1","http://www.world-nuclear.org/reactor/default.aspx/ANGRA-1","Brazil","609 MWe","OPERABLE","Pressurised Water Reactor","Eletrobras Eletronuclear S.A.","Eletrobras Eletronuclear S.A.","1 April 1982"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Angra 2","http://www.world-nuclear.org/reactor/default.aspx/ANGRA-2","Brazil","1275 MWe","OPERABLE","Pressurised Water Reactor","Eletrobras Eletronuclear S.A.","Eletrobras Eletronuclear S.A.","21 July 2000"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Angra 3","http://www.world-nuclear.org/reactor/default.aspx/ANGRA-3","Brazil","1245 MWe","UNDER CONSTRUCTION","Pressurised Water Reactor","Eletrobras Eletronuclear S.A.","Eletrobras Eletronuclear S.A.",""
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Ano 1","http://www.world-nuclear.org/reactor/default.aspx/ANO-1","United States Of America","836 MWe","OPERABLE","Pressurised Water Reactor","Entergy Arkansas Inc.","Entergy Nuclear Operations, Inc.","17 August 1974"
